Temperature - (Celsius), Year, Statistics, Longitude, Latitude
23.300001144409, 1923, Sep Average, 121, 31
17.700000762939, 1923, Oct Average, 121, 31
13.10000038147, 1923, Nov Average, 121, 31
7, 1923, Dec Average, 121, 31
5.0999999046326, 1924, Jan Average, 121, 31
5, 1924, Feb Average, 121, 31
7.0999999046326, 1924, Mar Average, 121, 31
15.300000190735, 1924, Apr Average, 121, 31
19, 1924, May Average, 121, 31
23, 1924, Jun Average, 121, 31
28.200000762939, 1924, Jul Average, 121, 31
27.800001144409, 1924, Aug Average, 121, 31
23.60000038147, 1924, Sep Average, 121, 31
18.200000762939, 1924, Oct Average, 121, 31
10.60000038147, 1924, Nov Average, 121, 31
6.2000002861023, 1924, Dec Average, 121, 31
3.1000001430511, 1925, Jan Average, 121, 31
3.7000000476837, 1925, Feb Average, 121, 31
9.1000003814697, 1925, Mar Average, 121, 31
13, 1925, Apr Average, 121, 31
19.700000762939, 1925, May Average, 121, 31
24.800001144409, 1925, Jun Average, 121, 31
26.89999961853, 1925, Jul Average, 121, 31
27.200000762939, 1925, Aug Average, 121, 31
22.89999961853, 1925, Sep Average, 121, 31
17.89999961853, 1925, Oct Average, 121, 31
13.60000038147, 1925, Nov Average, 121, 31
5.7000002861023, 1925, Dec Average, 121, 31
4.4000000953674, 1926, Jan Average, 121, 31
5.3000001907349, 1926, Feb Average, 121, 31
9.5, 1926, Mar Average, 121, 31
14.300000190735, 1926, Apr Average, 121, 31
20.800001144409, 1926, May Average, 121, 31
22.300001144409, 1926, Jun Average, 121, 31
28.10000038147, 1926, Jul Average, 121, 31
28.89999961853, 1926, Aug Average, 121, 31
24.700000762939, 1926, Sep Average, 121, 31
16.800001144409, 1926, Oct Average, 121, 31
12.699999809265, 1926, Nov Average, 121, 31
5.4000000953674, 1926, Dec Average, 121, 31
4.4000000953674, 1927, Jan Average, 121, 31
4.7000002861023, 1927, Feb Average, 121, 31
7.7000002861023, 1927, Mar Average, 121, 31
14.5, 1927, Apr Average, 121, 31
19.200000762939, 1927, May Average, 121, 31
23.5, 1927, Jun Average, 121, 31
28.300001144409, 1927, Jul Average, 121, 31
28.200000762939, 1927, Aug Average, 121, 31
23.89999961853, 1927, Sep Average, 121, 31
17.700000762939, 1927, Oct Average, 121, 31
13.900000572205, 1927, Nov Average, 121, 31
8.3000001907349, 1927, Dec Average, 121, 31
4.8000001907349, 1928, Jan Average, 121, 31
5, 1928, Feb Average, 121, 31
9.5, 1928, Mar Average, 121, 31
15.10000038147, 1928, Apr Average, 121, 31
20, 1928, May Average, 121, 31
23.300001144409, 1928, Jun Average, 121, 31
27.700000762939, 1928, Jul Average, 121, 31
26.300001144409, 1928, Aug Average, 121, 31
23.60000038147, 1928, Sep Average, 121, 31
17.39999961853, 1928, Oct Average, 121, 31
12.60000038147, 1928, Nov Average, 121, 31
7.2000002861023, 1928, Dec Average, 121, 31
4.2000002861023, 1929, Jan Average, 121, 31
4.5, 1929, Feb Average, 121, 31
9.4000005722046, 1929, Mar Average, 121, 31
15.400000572205, 1929, Apr Average, 121, 31
19.700000762939, 1929, May Average, 121, 31
24, 1929, Jun Average, 121, 31
27.89999961853, 1929, Jul Average, 121, 31
28, 1929, Aug Average, 121, 31
23.5, 1929, Sep Average, 121, 31
18.10000038147, 1929, Oct Average, 121, 31
11.199999809265, 1929, Nov Average, 121, 31
6.2000002861023, 1929, Dec Average, 121, 31
2.1000001430511, 1930, Jan Average, 121, 31
6.8000001907349, 1930, Feb Average, 121, 31
10.400000572205, 1930, Mar Average, 121, 31
15.199999809265, 1930, Apr Average, 121, 31
20.10000038147, 1930, May Average, 121, 31
24, 1930, Jun Average, 121, 31
28.200000762939, 1930, Jul Average, 121, 31
28.10000038147, 1930, Aug Average, 121, 31
22.89999961853, 1930, Sep Average, 121, 31
17.89999961853, 1930, Oct Average, 121, 31
11.10000038147, 1930, Nov Average, 121, 31
7.5, 1930, Dec Average, 121, 31
3.9000000953674, 1931, Jan Average, 121, 31
4, 1931, Feb Average, 121, 31
9.9000005722046, 1931, Mar Average, 121, 31
13.300000190735, 1931, Apr Average, 121, 31
