Country,Data source,Sector,Gas,Unit,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Brunei,CAIT,Industrial Processes,CO2,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brunei,CAIT,Transportation,CO2,MtCO₂e,1.33,1.34,1.36,1.35,1.33,1.34,1.28,1.18,1.12,1.13,1.13,1.03,0.95,0.97,0.92,0.88,0.84,0.81,0.81,0.82,0.88,0.84,0.78,0.72,0.68,0.65,0.6,0.55
Bulgaria,CAIT,Industrial Processes,CO2,MtCO₂e,1.24,1.2,1.11,0.91,0.89,0.98,0.79,0.81,0.98,1.86,1.94,1.52,1.59,1.42,1.25,1.19,1.2,1.19,1.09,1.1,1.54,1.92,1.95,1.41,1.13,1.08,1.24,2.1
Bulgaria,CAIT,Transportation,CO2,MtCO₂e,9.23,9.09,8.97,8.17,7.3,8.25,7.97,7.79,8.01,8.34,7.96,8.13,7.63,6.83,6.42,5.83,5.6,5.43,5.65,5.42,4.28,4.14,4.19,3.94,4.31,3.81,3.48,6.44
Burkina Faso,CAIT,Industrial Processes,CO2,MtCO₂e,0.12,0.12,0.1,0.16,0.23,0.25,0.23,0.23,0.22,0.18,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.04,0.07,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0
Burkina Faso,CAIT,Transportation,CO2,MtCO₂e,2.08,1.77,1.62,1.45,1.41,1.28,1.08,1.03,0.98,1.03,0.93,0.8,0.67,0.6,0.6,0.57,0.56,0.54,0.51,0.43,0.37,0.37,0.36,0.29,0.3,0.29,0.29,0.28
Burundi,CAIT,Industrial Processes,CO2,MtCO₂e,0.04,0.04,0.04,0.03,0.04,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burundi,CAIT,Transportation,CO2,MtCO₂e,0.44,0.38,0.33,0.31,0.31,0.31,0.31,0.26,0.16,0.16,0.16,0.16,0.14,0.12,0.13,0.17,0.14,0.19,0.17,0.16,0.16,0.16,0.15,0.14,0.14,0.13,0.16,0.13
Cambodia,CAIT,Industrial Processes,CO2,MtCO₂e,0.61,0.61,0.57,0.53,0.4,0.37,0.34,0.3,0.36,0.29,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.08,0.04,0.04,0.0,0.0,0.0,0.0
Cambodia,CAIT,Transportation,CO2,MtCO₂e,5.27,5.01,4.23,3.84,3.51,3.45,3.27,3.09,2.66,2.04,1.97,1.59,1.49,1.37,1.35,1.32,1.51,1.32,1.36,1.4,1.2,1.16,1.16,N/A,N/A,N/A,N/A,N/A
