Temperature - (Celsius), Year, Statistics, Longitude, Latitude
26.200000762939, 1914, Jun Average, 106.816666, -6.2
25.89999961853, 1914, Jul Average, 106.816666, -6.2
26.10000038147, 1914, Aug Average, 106.816666, -6.2
26.300001144409, 1914, Sep Average, 106.816666, -6.2
27.5, 1914, Oct Average, 106.816666, -6.2
29, 1914, Nov Average, 106.816666, -6.2
26.89999961853, 1914, Dec Average, 106.816666, -6.2
26.39999961853, 1915, Jan Average, 106.816666, -6.2
26.39999961853, 1915, Feb Average, 106.816666, -6.2
27.200000762939, 1915, Mar Average, 106.816666, -6.2
27, 1915, Apr Average, 106.816666, -6.2
27.39999961853, 1915, May Average, 106.816666, -6.2
26.5, 1915, Jun Average, 106.816666, -6.2
26.39999961853, 1915, Jul Average, 106.816666, -6.2
26.39999961853, 1915, Aug Average, 106.816666, -6.2
26.39999961853, 1915, Sep Average, 106.816666, -6.2
26.89999961853, 1915, Oct Average, 106.816666, -6.2
28.800001144409, 1915, Nov Average, 106.816666, -6.2
26.300001144409, 1915, Dec Average, 106.816666, -6.2
25.5, 1916, Jan Average, 106.816666, -6.2
26, 1916, Feb Average, 106.816666, -6.2
26.200000762939, 1916, Mar Average, 106.816666, -6.2
26.700000762939, 1916, Apr Average, 106.816666, -6.2
26.89999961853, 1916, May Average, 106.816666, -6.2
25.89999961853, 1916, Jun Average, 106.816666, -6.2
25.89999961853, 1916, Jul Average, 106.816666, -6.2
25.89999961853, 1916, Aug Average, 106.816666, -6.2
26.200000762939, 1916, Sep Average, 106.816666, -6.2
26.700000762939, 1916, Oct Average, 106.816666, -6.2
28.60000038147, 1916, Nov Average, 106.816666, -6.2
25.800001144409, 1916, Dec Average, 106.816666, -6.2
25.5, 1917, Jan Average, 106.816666, -6.2
25.60000038147, 1917, Feb Average, 106.816666, -6.2
26.10000038147, 1917, Mar Average, 106.816666, -6.2
26.200000762939, 1917, Apr Average, 106.816666, -6.2
26.700000762939, 1917, May Average, 106.816666, -6.2
26.10000038147, 1917, Jun Average, 106.816666, -6.2
26.200000762939, 1917, Jul Average, 106.816666, -6.2
26.10000038147, 1917, Aug Average, 106.816666, -6.2
27.39999961853, 1917, Sep Average, 106.816666, -6.2
28.10000038147, 1917, Oct Average, 106.816666, -6.2
28.60000038147, 1917, Nov Average, 106.816666, -6.2
27.60000038147, 1917, Dec Average, 106.816666, -6.2
25, 1918, Jan Average, 106.816666, -6.2
25.10000038147, 1918, Feb Average, 106.816666, -6.2
25.89999961853, 1918, Mar Average, 106.816666, -6.2
26.89999961853, 1918, Apr Average, 106.816666, -6.2
27.300001144409, 1918, May Average, 106.816666, -6.2
26.200000762939, 1918, Jun Average, 106.816666, -6.2
26, 1918, Jul Average, 106.816666, -6.2
26, 1918, Aug Average, 106.816666, -6.2
26.5, 1918, Sep Average, 106.816666, -6.2
27.200000762939, 1918, Oct Average, 106.816666, -6.2
28.60000038147, 1918, Nov Average, 106.816666, -6.2
26.5, 1918, Dec Average, 106.816666, -6.2
26.5, 1919, Jan Average, 106.816666, -6.2
26.5, 1919, Feb Average, 106.816666, -6.2
26.89999961853, 1919, Mar Average, 106.816666, -6.2
26.700000762939, 1919, Apr Average, 106.816666, -6.2
27.39999961853, 1919, May Average, 106.816666, -6.2
26, 1919, Jun Average, 106.816666, -6.2
25.60000038147, 1919, Jul Average, 106.816666, -6.2
25.89999961853, 1919, Aug Average, 106.816666, -6.2
26.300001144409, 1919, Sep Average, 106.816666, -6.2
26.89999961853, 1919, Oct Average, 106.816666, -6.2
28.39999961853, 1919, Nov Average, 106.816666, -6.2
26.39999961853, 1919, Dec Average, 106.816666, -6.2
25.700000762939, 1920, Jan Average, 106.816666, -6.2
26, 1920, Feb Average, 106.816666, -6.2
26.700000762939, 1920, Mar Average, 106.816666, -6.2
26.200000762939, 1920, Apr Average, 106.816666, -6.2
27.5, 1920, May Average, 106.816666, -6.2
26.10000038147, 1920, Jun Average, 106.816666, -6.2
26.10000038147, 1920, Jul Average, 106.816666, -6.2
25.5, 1920, Aug Average, 106.816666, -6.2
27.89999961853, 1920, Sep Average, 106.816666, -6.2
28.300001144409, 1920, Oct Average, 106.816666, -6.2
29, 1920, Nov Average, 106.816666, -6.2
26.300001144409, 1920, Dec Average, 106.816666, -6.2
26.200000762939, 1921, Jan Average, 106.816666, -6.2
25.800001144409, 1921, Feb Average, 106.816666, -6.2
26.200000762939, 1921, Mar Average, 106.816666, -6.2
26.39999961853, 1921, Apr Average, 106.816666, -6.2
26.700000762939, 1921, May Average, 106.816666, -6.2
25.800001144409, 1921, Jun Average, 106.816666, -6.2
25.800001144409, 1921, Jul Average, 106.816666, -6.2
26.200000762939, 1921, Aug Average, 106.816666, -6.2
26.10000038147, 1921, Sep Average, 106.816666, -6.2
26.39999961853, 1921, Oct Average, 106.816666, -6.2
28.10000038147, 1921, Nov Average, 106.816666, -6.2
25.800001144409, 1921, Dec Average, 106.816666, -6.2
26.300001144409, 1922, Jan Average, 106.816666, -6.2
25.800001144409, 1922, Feb Average, 106.816666, -6.2
26.39999961853, 1922, Mar Average, 106.816666, -6.2
26.60000038147, 1922, Apr Average, 106.816666, -6.2
26.800001144409, 1922, May Average, 106.816666, -6.2
26.200000762939, 1922, Jun Average, 106.816666, -6.2
26.10000038147, 1922, Jul Average, 106.816666, -6.2
26.300001144409, 1922, Aug Average, 106.816666, -6.2
26.300001144409, 1922, Sep Average, 106.816666, -6.2
26.39999961853, 1922, Oct Average, 106.816666, -6.2
29, 1922, Nov Average, 106.816666, -6.2
26.39999961853, 1922, Dec Average, 106.816666, -6.2
25.89999961853, 1923, Jan Average, 106.816666, -6.2
26.10000038147, 1923, Feb Average, 106.816666, -6.2
26.300001144409, 1923, Mar Average, 106.816666, -6.2
26.800001144409, 1923, Apr Average, 106.816666, -6.2
27.200000762939, 1923, May Average, 106.816666, -6.2
26.300001144409, 1923, Jun Average, 106.816666, -6.2
25.39999961853, 1923, Jul Average, 106.816666, -6.2
25.60000038147, 1923, Aug Average, 106.816666, -6.2
26, 1923, Sep Average, 106.816666, -6.2
27.39999961853, 1923, Oct Average, 106.816666, -6.2
28.39999961853, 1923, Nov Average, 106.816666, -6.2
26.39999961853, 1923, Dec Average, 106.816666, -6.2
26.800001144409, 1924, Jan Average, 106.816666, -6.2
26.39999961853, 1924, Feb Average, 106.816666, -6.2
26.60000038147, 1924, Mar Average, 106.816666, -6.2
26.5, 1924, Apr Average, 106.816666, -6.2
27.60000038147, 1924, May Average, 106.816666, -6.2
26.39999961853, 1924, Jun Average, 106.816666, -6.2
26.39999961853, 1924, Jul Average, 106.816666, -6.2
26.60000038147, 1924, Aug Average, 106.816666, -6.2
26.800001144409, 1924, Sep Average, 106.816666, -6.2
26.10000038147, 1924, Oct Average, 106.816666, -6.2
27.60000038147, 1924, Nov Average, 106.816666, -6.2
26, 1924, Dec Average, 106.816666, -6.2
26.10000038147, 1925, Jan Average, 106.816666, -6.2
25.60000038147, 1925, Feb Average, 106.816666, -6.2
25.89999961853, 1925, Mar Average, 106.816666, -6.2
26.60000038147, 1925, Apr Average, 106.816666, -6.2
27.5, 1925, May Average, 106.816666, -6.2
26.5, 1925, Jun Average, 106.816666, -6.2
26.200000762939, 1925, Jul Average, 106.816666, -6.2
26.5, 1925, Aug Average, 106.816666, -6.2
26.800001144409, 1925, Sep Average, 106.816666, -6.2
27.10000038147, 1925, Oct Average, 106.816666, -6.2
28.10000038147, 1925, Nov Average, 106.816666, -6.2
26.800001144409, 1925, Dec Average, 106.816666, -6.2
26.10000038147, 1926, Jan Average, 106.816666, -6.2
26.39999961853, 1926, Feb Average, 106.816666, -6.2
26.5, 1926, Mar Average, 106.816666, -6.2
27.5, 1926, Apr Average, 106.816666, -6.2
28, 1926, May Average, 106.816666, -6.2
26.700000762939, 1926, Jun Average, 106.816666, -6.2
26.5, 1926, Jul Average, 106.816666, -6.2
26.700000762939, 1926, Aug Average, 106.816666, -6.2
26.60000038147, 1926, Sep Average, 106.816666, -6.2
27, 1926, Oct Average, 106.816666, -6.2
28.200000762939, 1926, Nov Average, 106.816666, -6.2
26.300001144409, 1926, Dec Average, 106.816666, -6.2
26.10000038147, 1927, Jan Average, 106.816666, -6.2
26.39999961853, 1927, Feb Average, 106.816666, -6.2
26.5, 1927, Mar Average, 106.816666, -6.2
26.700000762939, 1927, Apr Average, 106.816666, -6.2
27.5, 1927, May Average, 106.816666, -6.2
26.200000762939, 1927, Jun Average, 106.816666, -6.2
26.200000762939, 1927, Jul Average, 106.816666, -6.2
26.5, 1927, Aug Average, 106.816666, -6.2
26.60000038147, 1927, Sep Average, 106.816666, -6.2
26.89999961853, 1927, Oct Average, 106.816666, -6.2
28, 1927, Nov Average, 106.816666, -6.2
26.60000038147, 1927, Dec Average, 106.816666, -6.2
26.800001144409, 1928, Jan Average, 106.816666, -6.2
26.60000038147, 1928, Feb Average, 106.816666, -6.2
26.60000038147, 1928, Mar Average, 106.816666, -6.2
26.700000762939, 1928, Apr Average, 106.816666, -6.2
27.700000762939, 1928, May Average, 106.816666, -6.2
26.10000038147, 1928, Jun Average, 106.816666, -6.2
26, 1928, Jul Average, 106.816666, -6.2
25.89999961853, 1928, Aug Average, 106.816666, -6.2
26.60000038147, 1928, Sep Average, 106.816666, -6.2
26.89999961853, 1928, Oct Average, 106.816666, -6.2
27.800001144409, 1928, Nov Average, 106.816666, -6.2
26.300001144409, 1928, Dec Average, 106.816666, -6.2
26.10000038147, 1929, Jan Average, 106.816666, -6.2
26.39999961853, 1929, Feb Average, 106.816666, -6.2
26.200000762939, 1929, Mar Average, 106.816666, -6.2
26.800001144409, 1929, Apr Average, 106.816666, -6.2
26.89999961853, 1929, May Average, 106.816666, -6.2
26.200000762939, 1929, Jun Average, 106.816666, -6.2
25.700000762939, 1929, Jul Average, 106.816666, -6.2
26.200000762939, 1929, Aug Average, 106.816666, -6.2
26.700000762939, 1929, Sep Average, 106.816666, -6.2
27.200000762939, 1929, Oct Average, 106.816666, -6.2
27.5, 1929, Nov Average, 106.816666, -6.2
26.200000762939, 1929, Dec Average, 106.816666, -6.2
26.700000762939, 1930, Jan Average, 106.816666, -6.2
26.300001144409, 1930, Feb Average, 106.816666, -6.2
26.89999961853, 1930, Mar Average, 106.816666, -6.2
26.5, 1930, Apr Average, 106.816666, -6.2
27.60000038147, 1930, May Average, 106.816666, -6.2
26.300001144409, 1930, Jun Average, 106.816666, -6.2
26.200000762939, 1930, Jul Average, 106.816666, -6.2
26.700000762939, 1930, Aug Average, 106.816666, -6.2
26.800001144409, 1930, Sep Average, 106.816666, -6.2
27.200000762939, 1930, Oct Average, 106.816666, -6.2
28.200000762939, 1930, Nov Average, 106.816666, -6.2
27, 1930, Dec Average, 106.816666, -6.2
27.300001144409, 1931, Jan Average, 106.816666, -6.2
27.10000038147, 1931, Feb Average, 106.816666, -6.2
26.89999961853, 1931, Mar Average, 106.816666, -6.2
27.200000762939, 1931, Apr Average, 106.816666, -6.2
27.89999961853, 1931, May Average, 106.816666, -6.2
26.60000038147, 1931, Jun Average, 106.816666, -6.2
