Country,Data source,Sector,Gas,Unit,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Bulgaria,CAIT,Total including LUCF,CO2,MtCO₂e,33.88,31.58,34.51,32.05,29.66,35.01,39.56,34.68,32.81,39.91,42.52,38.87,33.91,33.26,33.95,29.66,32.43,31.89,32.84,39.14,41.91,43.6,43.26,42.09,44.24,43.7,47.18,62.13
Bulgaria,CAIT,Transportation,CO2,MtCO₂e,9.23,9.09,8.97,8.17,7.3,8.25,7.97,7.79,8.01,8.34,7.96,8.13,7.63,6.83,6.42,5.83,5.6,5.43,5.65,5.42,4.28,4.14,4.19,3.94,4.31,3.81,3.48,6.44
Burkina Faso,CAIT,Total including LUCF,CO2,MtCO₂e,12.87,12.3,12.2,11.82,11.77,11.51,11.0,13.09,12.93,12.91,12.68,12.4,9.95,9.93,9.9,9.82,9.82,11.68,11.56,11.51,11.46,11.36,11.27,11.26,11.26,11.24,11.23,11.23
Burkina Faso,CAIT,Transportation,CO2,MtCO₂e,2.08,1.77,1.62,1.45,1.41,1.28,1.08,1.03,0.98,1.03,0.93,0.8,0.67,0.6,0.6,0.57,0.56,0.54,0.51,0.43,0.37,0.37,0.36,0.29,0.3,0.29,0.29,0.28
Burundi,CAIT,Total including LUCF,CO2,MtCO₂e,3.89,3.79,3.25,3.26,3.55,3.33,3.5,0.04,0.03,-0.14,-0.61,-0.21,5.6,6.12,6.78,6.64,5.86,9.02,8.84,9.04,8.84,8.73,9.18,9.18,9.18,9.17,9.2,9.15
Burundi,CAIT,Transportation,CO2,MtCO₂e,0.44,0.38,0.33,0.31,0.31,0.31,0.31,0.26,0.16,0.16,0.16,0.16,0.14,0.12,0.13,0.17,0.14,0.19,0.17,0.16,0.16,0.16,0.15,0.14,0.14,0.13,0.16,0.13
Cambodia,CAIT,Total including LUCF,CO2,MtCO₂e,34.11,32.63,31.32,29.36,28.31,28.16,27.92,27.66,27.46,26.68,26.34,25.68,33.44,33.18,33.18,33.01,32.95,28.36,28.31,28.34,28.1,28.01,27.91,27.87,27.78,27.75,27.7,27.66
Cambodia,CAIT,Transportation,CO2,MtCO₂e,5.27,5.01,4.23,3.84,3.51,3.45,3.27,3.09,2.66,2.04,1.97,1.59,1.49,1.37,1.35,1.32,1.51,1.32,1.36,1.4,1.2,1.16,1.16,N/A,N/A,N/A,N/A,N/A
Cameroon,CAIT,Total including LUCF,CO2,MtCO₂e,124.47,124.7,124.67,121.78,125.4,119.55,121.09,121.8,123.41,124.42,123.11,119.45,125.32,121.3,122.53,118.54,119.53,119.07,118.65,118.82,118.67,118.43,122.71,122.89,122.26,118.13,118.25,118.5
Cameroon,CAIT,Transportation,CO2,MtCO₂e,2.94,3.18,3.14,3.23,3.04,2.9,2.78,2.68,2.51,2.19,2.13,1.87,2.11,2.17,2.1,2.07,1.86,1.86,1.64,1.88,1.82,1.73,1.71,1.76,1.69,1.57,1.57,1.76
Canada,CAIT,Total including LUCF,CO2,MtCO₂e,627.69,615.9,672.07,647.81,669.88,622.2,598.09,713.37,653.26,711.24,725.72,707.85,800.48,789.25,822.35,798.95,733.37,554.92,557.79,596.56,519.16,515.64,519.57,508.89,492.75,496.07,483.0,489.19
Canada,CAIT,Transportation,CO2,MtCO₂e,185.25,180.83,180.01,180.43,181.81,176.78,175.06,174.68,169.48,174.01,175.76,169.41,170.62,166.39,162.28,159.65,147.79,149.97,151.16,147.47,144.85,140.44,137.09,133.42,127.18,125.21,120.95,124.67
Cape Verde,CAIT,Total including LUCF,CO2,MtCO₂e,0.42,0.38,0.33,0.33,0.34,0.36,0.4,0.47,0.44,0.4,0.39,0.43,0.44,0.34,0.31,0.28,0.25,-0.19,-0.21,-0.24,-0.26,-0.26,-0.28,-0.29,-0.29,-0.3,-0.3,-0.31
Cape Verde,CAIT,Transportation,CO2,MtCO₂e,0.28,0.26,0.24,0.24,0.25,0.28,0.29,0.26,0.25,0.23,0.27,0.27,0.23,0.11,0.09,0.08,0.07,0.07,0.06,0.05,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.04
Central African Republic,CAIT,Total including LUCF,CO2,MtCO₂e,14.11,14.1,13.58,13.56,13.55,13.57,13.54,13.52,13.51,13.58,13.51,13.51,14.22,14.23,14.22,14.23,14.23,14.23,14.22,14.21,14.15,14.15,14.18,14.18,14.18,14.17,14.17,14.18
Central African Republic,CAIT,Transportation,CO2,MtCO₂e,0.19,0.18,0.18,0.18,0.18,0.17,0.16,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.09
Chad,CAIT,Total including LUCF,CO2,MtCO₂e,25.96,25.95,25.9,25.87,25.85,25.82,25.75,26.69,26.63,26.62,26.54,26.48,8.13,8.11,8.1,7.86,7.85,8.57,8.56,8.54,8.53,8.51,8.5,8.49,8.48,8.47,8.46,8.45
Chad,CAIT,Transportation,CO2,MtCO₂e,0.16,0.16,0.15,0.15,0.14,0.13,0.13,0.12,0.1,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.06,0.05,0.05
Chile,CAIT,Total including LUCF,CO2,MtCO₂e,-17.94,-18.82,-23.02,-28.6,-22.05,-26.5,-28.49,62.48,58.13,61.01,57.51,49.81,48.92,47.93,43.12,41.9,41.08,37.45,41.4,39.04,38.19,31.69,25.89,23.02,19.94,19.12,17.19,18.05
Chile,CAIT,Transportation,CO2,MtCO₂e,27.38,26.38,25.23,23.57,24.49,22.43,21.86,21.44,20.71,20.58,19.81,18.29,18.56,16.92,16.33,16.58,16.07,16.99,16.74,16.56,15.73,14.84,13.64,12.33,11.41,10.29,9.48,9.08
China,CAIT,Total including LUCF,CO2,MtCO₂e,9705.8,9502.34,9518.63,9584.32,9624.78,9221.28,8966.29,8074.93,7319.61,6799.44,6592.66,6036.18,5479.84,4782.88,4074.18,3469.11,3187.53,3022.34,2827.39,2910.38,2806.85,2743.23,2763.14,2442.18,2321.81,2096.45,1980.46,1851.64
China,CAIT,Transportation,CO2,MtCO₂e,880.9,843.42,827.14,770.56,741.09,686.13,621.89,568.78,517.08,507.07,468.58,434.81,397.31,371.14,313.14,276.44,254.25,248.48,157.36,140.29,146.13,169.85,127.37,116.35,125.7,111.1,100.62,94.15
Colombia,CAIT,Total including LUCF,CO2,MtCO₂e,109.2,116.9,97.12,97.2,93.07,85.52,85.14,225.31,223.5,220.52,220.22,218.28,225.27,227.0,228.43,223.83,225.78,203.82,201.47,209.69,209.19,204.45,206.58,203.96,203.31,200.74,198.11,196.39
Colombia,CAIT,Transportation,CO2,MtCO₂e,28.79,28.8,27.57,25.44,24.45,25.86,24.48,20.27,19.87,21.45,21.23,20.81,19.85,20.24,17.73,17.26,19.46,18.56,19.08,21.41,21.87,20.86,20.33,17.04,18.27,18.01,17.09,16.35
Comoros,CAIT,Total including LUCF,CO2,MtCO₂e,0.31,0.27,0.24,0.23,0.24,0.22,0.22,0.23,0.2,0.19,0.2,0.23,0.22,0.23,0.22,0.19,0.19,0.16,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12
Comoros,CAIT,Transportation,CO2,MtCO₂e,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Cook Islands,CAIT,Total including LUCF,CO2,MtCO₂e,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.01,0.01,0.01,0.02,0.01,0.05,0.04,0.04,0.03,0.04,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Cook Islands,CAIT,Transportation,CO2,MtCO₂e,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02
